Genus	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL7	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL8	SMPL9
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum	40	17	0	2	0	4	0	31	15	0	1	0	1	0	765	0	0	0	1	5	57	18	3	39	0	41	15	13	72	10	36	25	7	0	0	0	0	0	6	10	22	0	13	8	13	10	1	65	1	9	43	1	9	10	2	53	0	6	2	5	7	71	2	2	6	5	18	21	6	2	62	10	9	14	23
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter	1777	1272	0	393	90	1602	918	6379	782	5	2037	0	2021	0	4672	0	0	0	2	2194	2221	3720	1423	1358	15	6644	375	14301	2493	6637	392	3972	1706	5707	0	127	0	40	2214	1275	1292	0	2076	377	6976	4162	1240	1187	695	690	504	123	923	2386	10680	2767	165	2928	786	2151	2413	2463	1909	1398	1191	2935	8352	304	2306	383	669	1130	1163	3406	9245
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostignum	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	27	4	0	0	0	1290	22	2139	9	0	21	0	1	0	27	0	0	0	105	20	8	375	30	1196	4	75	0	53	63	1369	151	24	10	6	0	0	0	0	3	34	936	0	498	314	760	84	6	20	26	377	1383	0	160	225	9	295	5	58	5	6	148	11	7	29	13	18	360	13	1395	24	6	212	105	7	7
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	2292	3481	0	15	3	12449	10728	2133	868	63	646	0	2235	0	23246	0	0	0	817	7573	4831	4560	1249	7450	74	3634	2170	28568	12495	9939	1499	34042	2436	1718	1	1758	6	12331	3323	2633	6725	1236	9780	7052	9572	2312	2312	4110	346	13464	3623	317	2794	5869	1562	6348	10347	7530	5142	6739	7443	8699	2275	1219	8971	4925	9304	839	11107	1660	2247	4766	3906	8254	6165
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio	1	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2997	1124	913	0	3314	0	0	0	1	65	0	0	0	8150	962	3332	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus	0	3	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	12	38	5	1	0	26	0	32	6	12	0	11	0	0	0	0	0	0	0	13	1	0	4	9	1	3	0	0	1	0	0	0	0	0	15	6	0	1	7	1	1	0	1	6	11	0	0	7	0	4	0	0	0	0	2
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus	491	109	0	0	0	199	3	391	0	0	102	0	14	0	0	1	0	0	1	299	35	351	2222	684	0	5	4	397	85	28	175	18	14	2	0	0	0	2	12	113	8124	0	45	0	13	165	19	19	24	10	15	0	14	9	8	683	165	1593	1274	1876	43	1126	3	60	630	21	866	8	454	10	471	4609	648	107	160
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea	1141	163	0	1	0	313	560	424	901	1	188	0	0	0	191	0	0	0	0	348	480	1165	313	448	0	957	391	7057	262	919	557	176	450	508	0	117	0	1	503	182	293	0	549	8	1595	509	264	165	204	753	537	22	2140	239	456	235	15	228	1114	280	952	378	114	122	143	257	1029	2	817	68	902	352	124	459	628
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	563	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	4	0	2	0	0	2	0	26	0	1	0
